date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:25	31730/31730	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/index.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/index.html	(from )
22:17:26	241/241	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Feb%202024%2016:51:14%20GMT	https://doccure.dreamstechnologies.com/robots.txt		(from )
22:17:27	293/293	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Feb%202024%2016:51:14%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/preview-banner.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/preview-banner.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:27	489/489	---M--	200	added ('OK')	image/png	etag:%221e9-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/favicon.png	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/favicon.png	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:28	232953/232953	---M-Z	200	added ('OK')	text/css	etag:%2238df9-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/css/bootstrap.min.css	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:28	80803/80803	---M-Z	200	added ('OK')	text/css	etag:%2213ba3-60d0a6172a000-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/fontawesome.min.css	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:29	102649/102649	---M-Z	200	added ('OK')	text/css	etag:%22190f9-60d0a6172a000-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:29	9572/9572	---M-Z	200	added ('OK')	text/css	etag:%222564-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/css/feathericon.min.css	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/css/feathericon.min.css	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:30	435/435	---M-Z	200	added ('OK')	text/css	etag:%221b3-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/morris/morris.css	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/morris/morris.css	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:31	80950/80950	---M-Z	200	added ('OK')	text/css	etag:%2213c36-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/css/custom.css	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/css/custom.css	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:31	7098/7098	---M--	200	added ('OK')	image/png	etag:%221bba-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/logo.png	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/logo.png	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:31	489/489	---M--	200	added ('OK')	image/png	etag:%221e9-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/logo-small.png	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/logo-small.png	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:32	37010/37010	---M--	200	added ('OK')	image/jpeg	etag:%229092-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-01.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-01.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:33	24953/24953	---M--	200	added ('OK')	image/jpeg	etag:%226179-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient1.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient1.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:34	60578/60578	---M--	200	added ('OK')	image/jpeg	etag:%22eca2-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient2.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient2.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:34	20542/20542	---M--	200	added ('OK')	image/jpeg	etag:%22503e-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient3.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient3.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:34	34001/34001	---M--	200	added ('OK')	image/jpeg	etag:%2284d1-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/profiles/avatar-01.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/profiles/avatar-01.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:35	22577/22577	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/profile.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/profile.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:36	15188/15188	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/settings.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/settings.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:36	4395/4395	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/login.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/login.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:37	26461/26461	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/appointment-list.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/appointment-list.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:38	22312/22312	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/specialities.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/specialities.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:38	22877/22877	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/doctor-list.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/doctor-list.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:38	23857/23857	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/patient-list.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/patient-list.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:39	30617/30617	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/reviews.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/reviews.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:40	24204/24204	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/transactions-list.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/transactions-list.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:40	28673/28673	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/invoice-report.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/invoice-report.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
